Lat,Long,Name,Tenths,BendName,BendNumber
38.68005,-90.69068,45.6,6,,
38.68005,-90.69252,45.7,7,,
38.67996,-90.69437,45.8,8,,
38.6798,-90.69635,45.9,9,,
38.67961,-90.69821,46,0,,
38.67934,-90.70001,46.1,1,,
38.67902,-90.70178,46.2,2,,
38.67864,-90.70356,46.3,3,,
38.67817,-90.70536,46.4,4,,
38.67765,-90.70719,46.5,5,,
38.67707,-90.7089,46.6,6,,
38.67642,-90.71057,46.7,7,,
38.67574,-90.7122,46.8,8,,
38.67503,-90.71379,46.9,9,,
38.67425,-90.71537,47,0,,
38.67339,-90.71687,47.1,1,,
38.67252,-90.71833,47.2,2,,
38.6716,-90.71974,47.3,3,,
38.67065,-90.72112,47.4,4,,
38.66968,-90.72248,47.5,5,,
38.66868,-90.72383,47.6,6,,
38.66771,-90.72513,47.7,7,,
38.66659,-90.72644,47.8,8,,
38.66549,-90.72762,47.9,9,,
38.66425,-90.72874,48,0,,
38.66302,-90.72976,48.1,1,,
38.66176,-90.73068,48.2,2,,
38.66046,-90.73148,48.3,3,,
38.65906,-90.73209,48.4,4,,
38.65764,-90.73244,48.5,5,,
38.65621,-90.73267,48.6,6,,
38.65477,-90.73291,48.7,7,,
38.65334,-90.73319,48.8,8,,
38.65192,-90.73348,48.9,9,,
38.65052,-90.7338,49,0,,
38.6491,-90.73413,49.1,1,,
38.64771,-90.73449,49.2,2,,
38.64633,-90.73491,49.3,3,,
38.64493,-90.73539,49.4,4,,
38.64361,-90.73603,49.5,5,,
38.64232,-90.73695,49.6,6,,
38.64116,-90.73807,49.7,7,,
38.64003,-90.73948,49.8,8,,
38.63902,-90.7408,49.9,9,,
38.63802,-90.74205,50,0,,
38.637,-90.74336,50.1,1,,
38.63595,-90.74463,50.2,2,,
38.63492,-90.74582,50.3,3,,
38.6338,-90.74696,50.4,4,,
38.63262,-90.74806,50.5,5,,
38.63143,-90.74913,50.6,6,,
38.63022,-90.7501,50.7,7,,
38.62897,-90.75099,50.8,8,,
